id_parc,nom_usuel,code_insee,nom_commune,code_dept,code_reg,etat_parc,latitude,longitude
3012006,Mont Heudelan 2,51487,ST HILAIRE LE PETIT,51,44,En exploitation,49.2741055,4.3900202
3012007,Ferme eolienne de la Hotte,8178,FRAILLICOURT,8,44,En exploitation,49.66605,4.16155
3012007,Ferme eolienne de la Hotte,8366,ROCQUIGNY,8,44,En exploitation,50.0592018,2.926892
3012007,Ferme eolienne de la Hotte,8372,RUBIGNY,8,44,En exploitation,49.68551,4.19385
3012007,Ferme eolienne de la Hotte,8465,VAUX-LES-RUBIGNY,8,44,En exploitation,49.69099,4.18428
3012037,PE de les Bouchats,51279,GRANGES SUR AUBE,51,44,En exploitation,48.582303,3.8513053
3012037,PE de les Bouchats,51353,MARSANGIS,51,44,En exploitation,48.60507,3.83552
3012037,PE de les Bouchats,51516,ST SATURNIN,51,44,En exploitation,48.613152,3.9019931
3012037,PE de les Bouchats,51565,THAAS,51,44,En exploitation,48.64794,3.87829
3012057,EOLIENNES DE BONNE VOISINE,10075,CHAMPFLEURY,10,44,En exploitation,49.1984834,4.0165459
3012058,LES ORMELOTS - Champfleury,10075,CHAMPFLEURY,10,44,En exploitation,49.1984834,4.0165459
3012061,Parc éolien de la Côte du Cerisat,51167,COOLE,51,44,En exploitation,48.7411019,4.392819
3012061,Parc éolien de la Côte du Cerisat,51446,PRINGY,51,44,En exploitation,48.7798117,4.5154884
3012132,EOLE DE LA GRANDE COMBE,52003,AILLIANVILLE,52,44,En exploitation,48.3429631,5.4779114
3012158,Ferme eolienne Machault,8264,MACHAULT,8,44,En exploitation,48.4548718,2.8306549
3012186,LES ORLES DE LA TOMELLE,8021,ARNICOURT,8,44,En exploitation,49.5562949,4.3472731
3012186,LES ORLES DE LA TOMELLE,8048,BARBY,8,44,En exploitation,49.5217295,4.3129272
3012329,FE Sainte-Anne,52114,CHATEAUVILLAIN,52,44,En exploitation,48.036222,4.9175196
3012415,FERME EOLIENNE DU MONT-LOUIS,8306,MONT-LAURENT,8,44,En exploitation,49.4695974,4.4805011
3012543,PARC EOLIEN DES 7 DOMAINES,57002,ABONCOURT-SUR-SEILLE,57,44,En exploitation,48.8168096,6.3412429
3012543,PARC EOLIEN DES 7 DOMAINES,57440,MANHOUE,57,44,En exploitation,48.8266476,6.3409061
3012560,Parc éolien de TREVERAY/SAINT-JOIRE,55459,SAINT-JOIRE,55,44,En exploitation,48.5962657,5.4157048
3012560,Parc éolien de TREVERAY/SAINT-JOIRE,55516,TREVERAY,55,44,En exploitation,48.6095872,5.3985615
3012570,Parc éolien de Piroy,52337,MONTREUIL-SUR-THONNANCE,52,44,En exploitation,48.4585,5.2368409
3012570,Parc éolien de Piroy,52370,OSNE LE VAL,52,44,En exploitation,48.4929074,5.1922836
3012582,BORALEX - Parc éolien Rernardière - Mont de Bézard II,51276,GOURGANCON,51,44,En exploitation,48.68817,4.02162
3012582,BORALEX - Parc éolien Rernardière - Mont de Bézard II,10369,SEMOINE,10,44,En exploitation,48.6790412,4.0861355
3012835,CEPE LE LANGROIS,52027,AUJEURRES,52,44,En exploitation,47.7404862,5.1829665
3012835,CEPE LE LANGROIS,52092,CHALANCEY,52,44,En exploitation,47.6774175,5.1402228
3012835,CEPE LE LANGROIS,52446,SAINT-BROINGT-LES-FOSSES,52,44,En exploitation,47.7103475,5.2715438
3012835,CEPE LE LANGROIS,52499,VAILLANT,52,44,En exploitation,47.7101165,5.1546424
3012835,CEPE LE LANGROIS,52519,VESVRES-SOUS-CHALANCEY,52,44,En exploitation,47.6930185,5.1695769
3012846,Les vents de la Moivre IV,51022,AULNAY L AITRE,51,44,En exploitation,48.8225778,4.5632731
3012846,Les vents de la Moivre IV,51141,LA CHAUSSEE SUR MARNE,51,44,En exploitation,48.834967,4.519852
3012939,LES MATS D'EOLE,51148,CHEPPES LA PRAIRIE,51,44,En exploitation,48.83188,4.47267
3012980,PARC EOLIEN DE NONGEE,8410,SEMIDE,8,44,En exploitation,49.3407129,4.5830031
3013269,FE Saint-Julien,52114,CHATEAUVILLAIN,52,44,En exploitation,48.036222,4.9175196
3013282,Parc Eolien des Puyats,10075,CHAMPFLEURY,10,44,En exploitation,49.1984834,4.0165459
3013282,Parc Eolien des Puyats,10289,PLANCY-L'ABBAYE,10,44,En exploitation,48.5703961,3.9682337
3014565,Centrale Eolienne de Demange,55150,DEMANGE-BAUDIGNECOURT,55,44,En exploitation,48.585273,5.471125
3100091,Les Raffauds 2,79136,ALLOINAY,79,75,En exploitation,46.1485519,-0.0483233617092091
3100115,CROIX CHALAIS,86159,MILLAC,86,75,En exploitation,46.1896443,0.687578
3100123,Energie Eolienne de le Vigeant,86289,LE VIGEANT,86,75,En exploitation,46.22475,0.649111
3100228,Ferme eolienne des Chateliers,79083,CHEF-BOUTONNE,79,75,En exploitation,46.1159102,-0.0793962691589534
3100598,EOL D AUNIS,17080,CHAMBON,17,75,En exploitation,46.1257314,-0.8497848
3100598,EOL D AUNIS,17203,LANDRAIS,17,75,En exploitation,46.0696223,-0.8624011
3100721,PARC EOLIEN DE ROUSSAC & ST JUNIEN LES C,87155,SAINT-JUNIEN-LES-COMBES,87,75,En exploitation,46.086431,1.1227353
3100721,PARC EOLIEN DE ROUSSAC & ST JUNIEN LES C,87128,SAINT-PARDOUX-LE-LAC,87,75,En exploitation,46.0557085,1.243733768502569
3100951,GATINEAU,79106,COUTURE-D'ARGENSON,79,75,En exploitation,45.9923405,-0.0821757
3101125,Ferme eolienne du Briou,17188,HAIMPS,17,75,En exploitation,45.868333,-0.258333
3101125,Ferme eolienne du Briou,17223,MASSAC,17,75,En exploitation,45.8664797,-0.2214641
3101276,Parc éolien de Cerisou,86255,SAVIGNE,86,75,En exploitation,46.1596214,0.3188483
3101546,CEPE Croix de Bertault,86284,VERNON,86,75,En exploitation,49.0932008,1.4857205
3101922,Parc éolien de Berceronne,86116,JAZENEUIL,86,75,En exploitation,46.4646192,0.0685172
3102230,Ferme Eolienne de Villegats,16110,COURCOME,16,75,En exploitation,45.985996400000005,0.1430867073616988
3102392,SAINT SECONDIN ENERGIES,86034,BOURESSE,86,75,En exploitation,46.3615009,0.6094403
3102392,SAINT SECONDIN ENERGIES,86248,ST SECONDIN,86,75,En exploitation,46.3287286,0.4931484
3102912,Parc éolien de Breuillac,79334,VAL-DU-MIGNON,79,75,En exploitation,46.16253445,-0.5829015168501259
3103079,FERME EOLIENNE DES PATIS AUX CHEVAUX,79005,AIRVAULT,79,75,En exploitation,46.828751,-0.158647
3103079,FERME EOLIENNE DES PATIS AUX CHEVAUX,79134,GLENAY,79,75,En exploitation,46.859986,-0.246393
3103126,Ferme éolienne de Leigné-les-bois,86125,LEIGNE LES BOIS,86,75,En exploitation,46.7589624,0.7051818
3103168,Ferme eolienne de Saint-Maurice,79280,SAINT MAURICE ETUSSON,79,75,En exploitation,47.037806,-0.517785
3103404,ENERGIE DEUX-SEVRES,79077,BEUGNON-THIREUIL,79,75,En exploitation,46.5700494,-0.5496940014323453
3103404,ENERGIE DEUX-SEVRES,79263,SAINT-LAURS,79,75,En exploitation,46.5213985,-0.5747029
3103836,CEPE CROIX DE L'ERABLE,86244,SAINT-SAUVANT,86,75,En exploitation,45.7389374,-0.504218
3103983,La Boixe,16024,AUSSAC VADALLE,16,75,En exploitation,45.82589275,0.2130672506300528
3104078,Ferme éolienne de Pamproux,79201,PAMPROUX,79,75,En exploitation,46.3953341,-0.0557604
3104264,SVNC Energie France,86104,GENOUILLE,86,75,En exploitation,46.0217717,-0.783701
3104264,SVNC Energie France,16054,LE BOUCHAGE,16,75,En exploitation,45.6720868,5.5190936
3104264,SVNC Energie France,86136,LIZANT,86,75,En exploitation,46.0847473,0.2793388
3104264,SVNC Energie France,16242,NANTEUIL EN VALLEE,16,75,En exploitation,46.0015683,0.3255463
3104264,SVNC Energie France,86266,SURIN,86,75,En exploitation,46.0773762,0.3719914
3104264,SVNC Energie France,16378,TAIZE-AIZIE,16,75,En exploitation,46.0635586,0.2392556
3104741,CPENR de Bena,86068,CHAUNAY,86,75,En exploitation,46.2073498,0.1639781
3105384,ENERGIE CHATEAU GARNIER,86064,CHATEAU GARNIER,86,75,En exploitation,46.2588033,0.427039
3105384,ENERGIE CHATEAU GARNIER,86055,LA CHAPELLE-BATON,86,75,En exploitation,46.4739229,-0.3259836
3203066,Parc eolien Montagne Ardechoise Nord 3,7136,LAVEYRUNE,7,84,En exploitation,44.632,3.89502
3203066,Parc eolien Montagne Ardechoise Nord 3,7137,LAVILLATTE,7,84,En exploitation,44.7444,3.95309
3300424,ENERGIES DU PLATEAU CENTRAL,25032,AUTECHAUX,25,27,En exploitation,47.3782168,6.3836889
3300424,ENERGIES DU PLATEAU CENTRAL,25492,RILLANS,25,27,En exploitation,47.4130798,6.3638025
3300424,ENERGIES DU PLATEAU CENTRAL,25572,TROUVANS,25,27,En exploitation,47.4240317,6.347498
3300424,ENERGIES DU PLATEAU CENTRAL,25602,VERGRANNE,25,27,En exploitation,47.4088125,6.3901756
3300424,ENERGIES DU PLATEAU CENTRAL,25604,VERNE,25,27,En exploitation,47.3980878,6.3546968
3300483,SCT D'EXPL. DU PARC EOLIEN DE SABINE 2,39094,CHAMOLE,39,27,En exploitation,46.8387,5.7274
3300641,SEPE LUDMILA 2,58213,POUGNY,58,27,En exploitation,46.1390374,5.9509954
3300642,SEPE LUDMILA 3,58213,POUGNY,58,27,En exploitation,46.1390374,5.9509954
3301067,Parc éolien de Bretelle 3 ,21489,POISEUL LA GRANGE,21,27,En exploitation,47.5759348,4.8041303
3301068,Echalot,21237,ECHALOT,21,27,En exploitation,47.6123017,4.8366266
3301293,Parc éolien de Thory,89415,THORY,89,27,En exploitation,49.7196028,2.4340243
3301383,Oigny,21466,OIGNY,21,27,En exploitation,47.5846178,4.7278643073176365
3301384,Parc éolien ALLEREY,21009,ALLEREY,21,27,En exploitation,47.1894986,4.4418279
3301384,Parc éolien ALLEREY,21020,ARCONCEY,21,27,En exploitation,47.2187304,4.455021
3301610,MONT DE VILLEY Enr,25187,DAMBELIN,25,27,En exploitation,47.3748289,6.6747308
3301610,MONT DE VILLEY Enr,25583,VALONNE,25,27,En exploitation,47.3439565,6.659097
3301703,CENTRALE EOLIENNE PLATEAU AUXOIS SUD,21020,ARCONCEY,21,27,En exploitation,47.2187304,4.455021
3301703,CENTRALE EOLIENNE PLATEAU AUXOIS SUD,21068,BEUREY BAUGUAY,21,27,En exploitation,47.2334318,4.4218736
3301703,CENTRALE EOLIENNE PLATEAU AUXOIS SUD,21128,CHAILLY-SUR-ARMANCON,21,27,En exploitation,47.2718146,4.4851464
3301703,CENTRALE EOLIENNE PLATEAU AUXOIS SUD,21153,CHATELLENOT,21,27,En exploitation,47.2360919,4.4876061
3301747,Parc éolien de La Roche 4 Rivières,70089,BOURGUIGNON LES MOREY,70,27,En exploitation,47.7096,5.70026
